error_id,error_date,customer_id,customer_segment,country,application_module,error_type,severity,app_version,device_type,operating_system,resolution_time_minutes,resolved,customer_churned_30d
ERR-00179,2024-04-17 20:43:15,CUST-0139,SMB,Francja,Eksport danych,Timeout,High,3.2.9,Desktop,Windows,323.0,True,False
ERR-00180,2024-12-07 07:06:22,CUST-0078,Mid-market,Niemcy,Integracje,Timeout,Critical,3.4.2,Desktop,Windows,417.0,True,False
ERR-00181,2024-10-13 10:56:55,CUST-0228,Startup,Polska,Logowanie,Błąd API,Medium,3.6.9,Desktop,Windows,79.0,True,False
ERR-00182,2024-07-27 06:39:47,CUST-0012,Enterprise,Polska,Płatności,Błąd bazy danych,Critical,3.3.1,Desktop,Windows,160.0,True,False
ERR-00183,2024-03-20 19:59:59,CUST-0057,Mid-market,Polska,Płatności,Błąd bazy danych,Medium,3.1.7,Mobile,Android,47.0,True,True
ERR-00184,2024-05-01 17:55:10,CUST-0240,Startup,Polska,Płatności,Timeout,Critical,3.9.7,Mobile,iOS,241.0,True,True
ERR-00185,2024-03-31 09:56:26,CUST-0018,Enterprise,Francja,Raporty,Błąd autoryzacji,High,3.0.3,Desktop,Windows,171.0,True,False
ERR-00186,2024-01-13 14:11:47,CUST-0211,Startup,Wielka Brytania,Raporty,Błąd bazy danych,Critical,3.8.6,Tablet,Android,141.0,True,False
ERR-00187,2024-06-19 17:50:59,CUST-0149,SMB,Wielka Brytania,Raporty,Błąd autoryzacji,Medium,3.8.6,Desktop,Windows,53.0,True,False
ERR-00188,2024-07-29 13:51:42,CUST-0026,Enterprise,Hiszpania,Raporty,Błąd API,Medium,3.4.1,Desktop,Linux,23.0,True,False
ERR-00189,2024-05-07 13:17:10,CUST-0022,Enterprise,Hiszpania,Eksport danych,Błąd bazy danych,Critical,3.2.0,Desktop,Windows,,False,False
ERR-00190,2024-12-25 09:06:24,CUST-0108,SMB,Francja,Eksport danych,Błąd bazy danych,High,3.2.1,Desktop,Windows,128.0,True,False
ERR-00191,2024-01-20 05:54:30,CUST-0025,Enterprise,Polska,Płatności,Błąd bazy danych,High,3.8.1,Desktop,macOS,,False,False
ERR-00192,2024-04-23 18:12:52,CUST-0046,Mid-market,Wielka Brytania,Użytkownicy,Nieprawidłowe dane,High,3.7.6,Desktop,Windows,95.0,True,False
ERR-00193,2024-08-23 18:22:19,CUST-0022,Enterprise,Francja,Użytkownicy,Błąd API,High,3.8.5,Desktop,Windows,,False,False
ERR-00194,2024-04-26 14:14:01,CUST-0079,Mid-market,Niemcy,Płatności,Błąd bazy danych,Critical,3.9.5,Desktop,Windows,212.0,True,False
ERR-00195,2024-12-03 10:12:25,CUST-0020,Enterprise,Polska,Raporty,Błąd bazy danych,High,3.8.1,Mobile,Android,32.0,True,False
ERR-00196,2024-06-17 10:17:55,CUST-0161,Startup,Niemcy,Raporty,Timeout,Critical,3.2.3,Desktop,Windows,302.0,True,False
ERR-00197,2024-02-05 15:49:17,CUST-0218,Startup,Niemcy,Użytkownicy,Błąd autoryzacji,High,3.3.6,Desktop,macOS,90.0,True,False
ERR-00198,2024-06-28 18:41:32,CUST-0208,Startup,Wielka Brytania,Eksport danych,Timeout,Medium,3.8.8,Mobile,Android,,False,False
ERR-00199,2024-07-23 17:43:53,CUST-0148,SMB,Niemcy,Logowanie,Błąd API,Medium,3.3.1,Tablet,iOS,32.0,True,False
ERR-00200,2024-10-01 16:21:01,CUST-0023,Enterprise,Niemcy,Raporty,Błąd bazy danych,High,3.1.0,Tablet,Android,27.0,True,False
ERR-00201,2024-02-29 14:56:16,CUST-0127,SMB,Wielka Brytania,Raporty,Nieprawidłowe dane,Medium,3.8.1,Desktop,Windows,,False,False
ERR-00202,2024-04-01 04:37:16,CUST-0003,Enterprise,Polska,Raporty,Timeout,Critical,3.4.6,Desktop,Windows,218.0,True,True
ERR-00203,2024-01-20 08:06:38,CUST-0030,Enterprise,Niemcy,Logowanie,Błąd autoryzacji,Medium,3.9.4,Desktop,Linux,27.0,True,False
ERR-00204,2024-08-10 18:22:46,CUST-0019,Enterprise,Polska,Eksport danych,Błąd interfejsu,High,3.7.7,Desktop,Windows,82.0,True,False
ERR-00205,2024-06-09 14:27:38,CUST-0038,Mid-market,Francja,Integracje,Błąd autoryzacji,Critical,3.1.3,Tablet,iOS,,False,False
ERR-00206,2024-09-18 00:07:24,CUST-0088,SMB,Wielka Brytania,Eksport danych,Błąd API,Medium,3.9.6,Desktop,Windows,98.0,True,False
ERR-00207,2024-10-22 05:12:16,CUST-0145,SMB,Polska,Eksport danych,Błąd API,High,3.3.8,Desktop,Windows,181.0,True,False
ERR-00208,2024-01-23 14:45:27,CUST-0043,Mid-market,Wielka Brytania,Integracje,Błąd API,Medium,3.4.3,Desktop,Windows,47.0,True,False
ERR-00209,2024-01-01 00:33:59,CUST-0019,Enterprise,Polska,Raporty,Błąd autoryzacji,High,3.4.6,Desktop,Windows,52.0,True,False
ERR-00210,2024-10-02 08:43:46,CUST-0219,Startup,Wielka Brytania,Integracje,Błąd autoryzacji,Low,3.0.7,Mobile,Android,28.0,True,False
ERR-00211,2024-12-09 13:12:23,CUST-0040,Mid-market,Hiszpania,Logowanie,Błąd autoryzacji,Critical,3.5.4,Desktop,Windows,,False,False
ERR-00212,2024-08-08 15:04:42,CUST-0041,Mid-market,Hiszpania,Integracje,Błąd API,Low,3.1.8,Desktop,macOS,,False,False
ERR-00213,2024-06-18 14:39:20,CUST-0011,Enterprise,Polska,Logowanie,Błąd API,Medium,3.4.6,Desktop,Windows,41.0,True,False
ERR-00214,2024-12-05 09:54:07,CUST-0147,SMB,Wielka Brytania,Integracje,Timeout,Critical,3.4.4,Desktop,Windows,254.0,True,False
ERR-00215,2024-06-02 15:32:19,CUST-0137,SMB,Francja,Płatności,Błąd bazy danych,High,3.8.5,Desktop,Windows,272.0,True,True
ERR-00216,2024-12-07 09:26:20,CUST-0004,Enterprise,Polska,Logowanie,Nieprawidłowe dane,Medium,3.8.6,Desktop,Windows,72.0,True,False
ERR-00217,2024-07-25 10:44:18,CUST-0022,Enterprise,Hiszpania,Logowanie,Błąd autoryzacji,Medium,3.2.3,Desktop,Windows,16.0,True,False
ERR-00218,2024-10-10 16:08:12,CUST-0107,SMB,Polska,Logowanie,Błąd API,High,3.4.4,Mobile,Android,,False,False
ERR-00219,2024-08-03 14:42:24,CUST-0143,SMB,Wielka Brytania,Integracje,Błąd bazy danych,High,3.4.5,Tablet,Android,63.0,True,False
ERR-00220,2024-12-12 17:47:57,CUST-0003,Enterprise,Polska,Integracje,Timeout,Medium,3.2.2,Tablet,iOS,40.0,True,False
ERR-00221,2024-03-30 14:39:36,CUST-0216,Startup,Francja,Raporty,Timeout,High,3.8.6,Tablet,iOS,101.0,True,False
ERR-00222,2024-06-03 13:25:35,CUST-0015,Enterprise,Niemcy,Logowanie,Błąd bazy danych,High,3.8.2,Desktop,Windows,24.0,True,True
ERR-00223,2024-01-01 05:19:18,CUST-0034,Mid-market,Polska,Logowanie,Nieprawidłowe dane,Low,3.2.8,Desktop,Windows,61.0,True,False
ERR-00224,2024-04-17 10:27:50,CUST-0209,Startup,Polska,Logowanie,Nieprawidłowe dane,Medium,3.4.5,Desktop,macOS,41.0,True,False
ERR-00225,2024-10-23 09:38:41,CUST-0039,Mid-market,Polska,Logowanie,Błąd API,Medium,3.1.5,Mobile,Android,,False,False
ERR-00226,2024-06-13 09:29:28,CUST-0063,Mid-market,Niemcy,Eksport danych,Błąd bazy danych,Medium,3.7.4,Tablet,iOS,,False,False
ERR-00227,2024-08-14 22:43:13,CUST-0014,Enterprise,Polska,Płatności,Timeout,High,3.1.8,Mobile,Android,181.0,True,False
ERR-00228,2024-09-18 11:30:50,CUST-0015,Enterprise,Niemcy,Raporty,Błąd bazy danych,Critical,3.9.8,Desktop,Windows,,False,False
ERR-00229,2024-03-27 18:42:05,CUST-0223,Startup,Polska,Logowanie,Błąd API,Low,3.8.5,Tablet,iOS,55.0,True,False
ERR-00230,2024-05-25 14:32:42,CUST-0034,Mid-market,Polska,Płatności,Timeout,High,3.4.6,Desktop,Windows,174.0,True,False
ERR-00231,2024-11-20 16:39:21,CUST-0222,Startup,Francja,Raporty,Błąd bazy danych,Critical,3.6.6,Desktop,Windows,166.0,True,False
ERR-00232,2024-02-17 12:52:48,CUST-0015,Enterprise,Polska,Integracje,Błąd API,Medium,3.9.3,Desktop,Windows,18.0,True,False
ERR-00233,2024-04-30 13:43:19,CUST-0022,Enterprise,Wielka Brytania,Płatności,Timeout,Critical,3.6.3,Desktop,macOS,,False,False
ERR-00234,2024-04-25 12:51:12,CUST-0026,Enterprise,Wielka Brytania,Logowanie,Błąd interfejsu,Medium,3.2.6,Desktop,Windows,32.0,True,True
ERR-00235,2024-03-16 08:01:02,CUST-0120,SMB,Francja,Raporty,Błąd autoryzacji,Medium,3.4.5,Desktop,Windows,31.0,True,False
ERR-00236,2024-05-05 15:30:39,CUST-0024,Enterprise,Niemcy,Płatności,Timeout,Low,3.8.8,Desktop,Windows,10.0,True,False
ERR-00237,2024-02-07 09:29:26,CUST-0153,Startup,Wielka Brytania,Płatności,Błąd autoryzacji,Medium,3.7.6,Desktop,macOS,50.0,True,False
ERR-00238,2024-11-18 01:36:12,CUST-0056,Mid-market,Polska,Użytkownicy,Błąd bazy danych,Critical,3.7.7,Mobile,iOS,105.0,True,False
ERR-00239,2024-12-22 14:24:31,CUST-0183,Startup,Polska,Integracje,Błąd bazy danych,Low,3.9.0,Mobile,iOS,19.0,True,False
ERR-00240,2024-07-23 08:15:09,CUST-0027,Enterprise,Polska,Raporty,Timeout,High,3.9.2,Desktop,Windows,116.0,True,False
ERR-00241,2024-12-01 20:44:00,CUST-0151,Startup,Hiszpania,Raporty,Błąd bazy danych,Critical,3.9.3,Mobile,iOS,154.0,True,False
ERR-00242,2024-02-24 21:49:27,CUST-0108,SMB,Polska,Raporty,Timeout,High,3.1.4,Tablet,iOS,48.0,True,False
ERR-00243,2024-04-22 19:11:51,CUST-0090,SMB,Niemcy,Raporty,Błąd bazy danych,High,3.6.1,Desktop,Windows,164.0,True,False
ERR-00244,2024-12-22 10:33:29,CUST-0086,SMB,Wielka Brytania,Integracje,Błąd API,Critical,3.8.3,Desktop,Windows,985.0,True,False
ERR-00245,2024-01-26 00:35:15,CUST-0135,SMB,Wielka Brytania,Integracje,Błąd API,High,3.8.4,Desktop,Windows,93.0,True,False
ERR-00246,2024-03-03 20:29:08,CUST-0053,Mid-market,Niemcy,Logowanie,Błąd interfejsu,Medium,3.7.1,Desktop,macOS,,False,False
ERR-00247,2024-08-25 11:42:33,CUST-0023,Enterprise,Polska,Raporty,Timeout,Critical,3.2.5,Mobile,Android,60.0,True,False
ERR-00248,2024-10-13 22:38:20,CUST-0003,Enterprise,Hiszpania,Raporty,Błąd autoryzacji,High,3.8.6,Mobile,iOS,73.0,True,False
ERR-00249,2024-08-14 22:39:52,CUST-0220,Startup,Niemcy,Eksport danych,Błąd API,Medium,3.8.2,Desktop,macOS,186.0,True,False
ERR-00250,2024-09-15 17:27:53,CUST-0034,Mid-market,Polska,Integracje,Błąd interfejsu,Medium,3.1.2,Mobile,iOS,90.0,True,False
ERR-00251,2024-10-07 09:28:57,CUST-0089,SMB,Polska,Raporty,Timeout,High,3.4.9,Mobile,iOS,162.0,True,False
ERR-00252,2024-03-22 11:47:55,CUST-0061,Mid-market,Wielka Brytania,Logowanie,Błąd autoryzacji,Critical,3.2.6,Tablet,iOS,145.0,True,False
ERR-00253,2024-08-31 17:28:16,CUST-0002,Enterprise,Francja,Integracje,Timeout,Critical,3.4.3,Desktop,Windows,139.0,True,False
ERR-00254,2024-05-06 10:53:40,CUST-0010,Enterprise,Hiszpania,Logowanie,Błąd API,Low,3.0.2,Tablet,iOS,6.0,True,True
ERR-00255,2024-05-21 08:49:49,CUST-0133,SMB,Wielka Brytania,Płatności,Błąd autoryzacji,High,3.4.6,Desktop,Windows,181.0,True,False
ERR-00256,2024-09-23 13:31:40,CUST-0042,Mid-market,Niemcy,Logowanie,Błąd bazy danych,High,3.6.2,Desktop,macOS,160.0,True,False
ERR-00257,2024-05-02 20:17:28,CUST-0025,Enterprise,Niemcy,Integracje,Błąd interfejsu,Low,3.7.2,Desktop,Windows,55.0,True,False
ERR-00258,2024-02-09 15:45:18,CUST-0039,Mid-market,Niemcy,Płatności,Błąd API,Medium,3.7.9,Desktop,Linux,30.0,True,False
ERR-00259,2024-04-30 13:17:21,CUST-0025,Enterprise,Polska,Raporty,Timeout,High,3.8.8,Mobile,iOS,24.0,True,False
ERR-00260,2024-06-12 05:57:34,CUST-0072,Mid-market,Niemcy,Eksport danych,Błąd API,High,3.3.2,Desktop,macOS,112.0,True,True
ERR-00261,2024-02-11 14:08:09,CUST-0024,Enterprise,Hiszpania,Płatności,Błąd autoryzacji,Low,3.1.8,Desktop,Windows,23.0,True,False
ERR-00262,2024-04-28 23:24:44,CUST-0134,SMB,Francja,Raporty,Nieprawidłowe dane,High,3.8.9,Desktop,Windows,233.0,True,False
ERR-00263,2024-03-19 07:45:13,CUST-0012,Enterprise,Wielka Brytania,Raporty,Błąd API,Medium,3.2.3,Mobile,iOS,16.0,True,False
ERR-00264,2024-02-02 12:26:26,CUST-0055,Mid-market,Niemcy,Logowanie,Timeout,Medium,3.9.8,Desktop,Windows,31.0,True,False
ERR-00265,2024-06-18 17:34:29,CUST-0015,Enterprise,Francja,Eksport danych,Błąd bazy danych,Critical,3.8.8,Mobile,iOS,131.0,True,False
ERR-00266,2024-07-31 16:03:13,CUST-0028,Enterprise,Francja,Logowanie,Błąd API,Medium,3.5.5,Desktop,Windows,22.0,True,False
ERR-00267,2024-08-03 15:24:57,CUST-0030,Enterprise,Niemcy,Raporty,Błąd bazy danych,High,3.9.8,Desktop,macOS,141.0,True,False
ERR-00268,2024-10-26 15:44:01,CUST-0055,Mid-market,Francja,Raporty,Błąd autoryzacji,Medium,3.1.4,Desktop,Windows,47.0,True,False
ERR-00269,2024-10-21 10:24:30,CUST-0055,Mid-market,Polska,Integracje,Nieprawidłowe dane,High,3.4.1,Desktop,Windows,190.0,True,False
ERR-00270,2024-01-04 09:22:19,CUST-0003,Enterprise,Niemcy,Integracje,Błąd interfejsu,Medium,3.7.5,Desktop,macOS,36.0,True,False
ERR-00271,2024-07-18 16:54:57,CUST-0150,SMB,Polska,Płatności,Błąd bazy danych,Medium,3.4.4,Desktop,Windows,109.0,True,False
ERR-00272,2024-08-02 16:34:47,CUST-0168,Startup,Niemcy,Logowanie,Błąd interfejsu,Low,3.9.4,Tablet,Android,25.0,True,False
ERR-00273,2024-10-06 17:51:38,CUST-0125,SMB,Niemcy,Integracje,Błąd autoryzacji,Low,3.0.9,Desktop,Windows,63.0,True,False
ERR-00274,2024-04-22 19:31:14,CUST-0004,Enterprise,Francja,Raporty,Błąd API,High,3.6.2,Desktop,Windows,42.0,True,False
ERR-00275,2024-05-19 12:27:31,CUST-0042,Mid-market,Wielka Brytania,Eksport danych,Błąd bazy danych,High,3.6.8,Desktop,Windows,112.0,True,False
ERR-00276,2024-01-15 12:24:21,CUST-0018,Enterprise,Francja,Eksport danych,Błąd API,Low,3.7.7,Mobile,iOS,9.0,True,False
ERR-00277,2024-12-08 16:43:51,CUST-0013,Enterprise,Francja,Eksport danych,Błąd API,Low,3.3.8,Desktop,Windows,15.0,True,False
ERR-00278,2024-07-26 14:46:10,CUST-0218,Startup,Niemcy,Raporty,Timeout,High,3.4.4,Desktop,Windows,105.0,True,False
ERR-00279,2024-08-27 15:58:08,CUST-0005,Enterprise,Francja,Płatności,Błąd autoryzacji,Critical,3.8.8,Mobile,Android,82.0,True,True
ERR-00280,2024-11-14 16:34:01,CUST-0077,Mid-market,Polska,Eksport danych,Timeout,High,3.2.9,Desktop,Windows,363.0,True,False
ERR-00281,2024-07-20 18:37:36,CUST-0045,Mid-market,Polska,Raporty,Błąd autoryzacji,Critical,3.8.8,Desktop,Windows,105.0,True,False
ERR-00282,2024-12-05 10:01:05,CUST-0081,SMB,Niemcy,Logowanie,Błąd bazy danych,High,3.6.4,Desktop,Linux,,False,False
ERR-00283,2024-11-25 11:27:08,CUST-0079,Mid-market,Niemcy,Eksport danych,Timeout,Medium,3.8.4,Desktop,macOS,90.0,True,False
ERR-00284,2024-08-24 05:11:03,CUST-0001,Enterprise,Polska,Eksport danych,Błąd autoryzacji,High,3.8.2,Desktop,Windows,271.0,True,False
ERR-00285,2024-05-13 13:24:20,CUST-0010,Enterprise,Polska,Raporty,Błąd API,Medium,3.3.1,Desktop,Windows,11.0,True,False
ERR-00286,2024-04-18 01:29:20,CUST-0060,Mid-market,Polska,Logowanie,Błąd API,High,3.6.5,Desktop,macOS,151.0,True,False
ERR-00287,2024-06-21 12:48:56,CUST-0022,Enterprise,Wielka Brytania,Raporty,Nieprawidłowe dane,Critical,3.9.0,Desktop,Windows,80.0,True,False
ERR-00288,2024-07-13 13:17:48,CUST-0024,Enterprise,Polska,Eksport danych,Błąd API,Low,3.4.8,Desktop,Windows,6.0,True,False
ERR-00289,2024-08-03 09:16:53,CUST-0018,Enterprise,Niemcy,Użytkownicy,Timeout,Medium,3.9.7,Tablet,Android,25.0,True,True
ERR-00290,2024-02-11 13:30:01,CUST-0014,Enterprise,Polska,Płatności,Nieprawidłowe dane,High,3.4.9,Mobile,Android,187.0,True,False
ERR-00291,2024-10-03 01:03:22,CUST-0018,Enterprise,Francja,Logowanie,Błąd API,Low,3.2.1,Mobile,iOS,5.0,True,False
ERR-00292,2024-04-24 02:41:04,CUST-0013,Enterprise,Polska,Eksport danych,Błąd autoryzacji,Low,3.4.6,Desktop,macOS,18.0,True,False
ERR-00293,2024-11-29 17:02:48,CUST-0045,Mid-market,Polska,Raporty,Błąd API,Low,3.9.6,Desktop,Windows,25.0,True,False
ERR-00294,2024-01-16 10:15:12,CUST-0112,SMB,Niemcy,Raporty,Błąd interfejsu,Low,3.4.2,Desktop,Windows,72.0,True,False
ERR-00295,2024-01-11 06:39:09,CUST-0139,SMB,Polska,Użytkownicy,Timeout,Critical,3.9.0,Desktop,macOS,,False,False
ERR-00296,2024-05-02 13:08:30,CUST-0012,Enterprise,Polska,Logowanie,Timeout,Medium,3.9.1,Tablet,iOS,,False,True
ERR-00297,2024-12-08 16:07:36,CUST-0005,Enterprise,Polska,Integracje,Błąd autoryzacji,Medium,3.4.4,Desktop,Windows,13.0,True,False
ERR-00298,2024-04-21 08:29:44,CUST-0009,Enterprise,Polska,Logowanie,Błąd autoryzacji,Medium,3.1.2,Desktop,Windows,44.0,True,False
ERR-00299,2024-05-11 14:49:23,CUST-0043,Mid-market,Polska,Raporty,Błąd API,Medium,3.8.2,Desktop,Windows,,False,False
ERR-00300,2024-03-26 04:38:38,CUST-0095,SMB,Polska,Eksport danych,Błąd API,Low,3.4.2,Desktop,macOS,44.0,True,False
ERR-00301,2024-02-28 02:49:52,CUST-0002,Enterprise,Hiszpania,Raporty,Błąd autoryzacji,High,3.8.5,Desktop,macOS,89.0,True,False
ERR-00302,2024-03-24 13:19:06,CUST-0235,Startup,Niemcy,Użytkownicy,Błąd interfejsu,Low,3.4.8,Desktop,Windows,110.0,True,False
ERR-00303,2024-10-23 13:01:59,CUST-0014,Enterprise,Niemcy,Raporty,Błąd bazy danych,Critical,3.5.2,Desktop,macOS,253.0,True,False
ERR-00304,2024-06-08 14:36:43,CUST-0070,Mid-market,Polska,Płatności,Błąd API,High,3.8.5,Mobile,Android,40.0,True,True
ERR-00305,2024-07-11 15:25:45,CUST-0083,SMB,Wielka Brytania,Płatności,Nieprawidłowe dane,Medium,3.4.5,Desktop,Windows,58.0,True,False
ERR-00306,2024-04-11 22:04:37,CUST-0181,Startup,Niemcy,Raporty,Błąd autoryzacji,Medium,3.4.8,Tablet,Android,58.0,True,False
ERR-00307,2024-12-19 12:53:40,CUST-0107,SMB,Polska,Raporty,Błąd API,Medium,3.4.5,Mobile,Android,42.0,True,False
ERR-00308,2024-05-04 10:06:44,CUST-0089,SMB,Francja,Logowanie,Błąd bazy danych,High,3.4.5,Desktop,Windows,117.0,True,False
ERR-00309,2024-06-03 16:54:43,CUST-0004,Enterprise,Polska,Raporty,Nieprawidłowe dane,High,3.5.8,Mobile,Android,52.0,True,False
ERR-00310,2024-11-03 09:51:07,CUST-0085,SMB,Polska,Raporty,Nieprawidłowe dane,High,3.8.7,Desktop,Windows,113.0,True,False
ERR-00311,2024-10-16 11:50:02,CUST-0015,Enterprise,Niemcy,Integracje,Timeout,High,3.4.4,Tablet,iOS,255.0,True,False
ERR-00312,2024-06-26 04:34:27,CUST-0227,Startup,Wielka Brytania,Integracje,Błąd interfejsu,Medium,3.5.8,Desktop,Windows,29.0,True,False
ERR-00313,2024-12-04 01:23:04,CUST-0074,Mid-market,Niemcy,Integracje,Błąd autoryzacji,Critical,3.8.0,Desktop,Windows,562.0,True,False
ERR-00314,2024-09-16 21:41:21,CUST-0087,SMB,Francja,Logowanie,Nieprawidłowe dane,Critical,3.4.0,Desktop,Windows,247.0,True,False
ERR-00315,2024-01-07 17:54:26,CUST-0046,Mid-market,Wielka Brytania,Płatności,Błąd interfejsu,Medium,3.4.0,Desktop,Windows,63.0,True,False
ERR-00316,2024-09-07 15:06:27,CUST-0078,Mid-market,Polska,Integracje,Błąd autoryzacji,Medium,3.9.5,Tablet,Android,101.0,True,False
ERR-00317,2024-07-04 11:40:57,CUST-0033,Mid-market,Polska,Raporty,Błąd bazy danych,High,3.8.2,Desktop,macOS,79.0,True,False
ERR-00318,2024-08-23 08:45:09,CUST-0132,SMB,Niemcy,Logowanie,Błąd autoryzacji,Critical,3.6.6,Mobile,iOS,225.0,True,True
ERR-00319,2024-08-10 08:11:46,CUST-0015,Enterprise,Niemcy,Eksport danych,Błąd API,Low,3.7.7,Desktop,macOS,13.0,True,False
ERR-00320,2024-09-24 09:41:17,CUST-0008,Enterprise,Niemcy,Eksport danych,Błąd API,Medium,3.0.4,Tablet,iOS,24.0,True,False
ERR-00321,2024-11-11 13:51:58,CUST-0018,Enterprise,Wielka Brytania,Raporty,Błąd API,Low,3.7.2,Desktop,Windows,44.0,True,False
ERR-00322,2024-10-02 15:49:30,CUST-0007,Enterprise,Francja,Logowanie,Błąd interfejsu,Low,3.5.6,Desktop,macOS,,False,False
ERR-00323,2024-08-26 14:27:52,CUST-0247,Startup,Francja,Eksport danych,Błąd bazy danych,High,3.6.1,Desktop,Windows,295.0,True,True
ERR-00324,2024-10-30 09:17:20,CUST-0028,Enterprise,Polska,Raporty,Błąd API,Critical,3.4.4,Mobile,Android,59.0,True,False
ERR-00325,2024-05-05 21:53:59,CUST-0250,Startup,Hiszpania,Eksport danych,Nieprawidłowe dane,Low,3.1.2,Desktop,Windows,15.0,True,False
ERR-00326,2024-02-14 15:17:56,CUST-0002,Enterprise,Wielka Brytania,Eksport danych,Błąd interfejsu,Medium,3.2.9,Desktop,macOS,,False,False
ERR-00327,2024-08-18 13:15:48,CUST-0005,Enterprise,Hiszpania,Eksport danych,Błąd autoryzacji,Low,3.9.6,Desktop,Windows,13.0,True,False
ERR-00328,2024-08-25 14:36:39,CUST-0145,SMB,Polska,Raporty,Błąd interfejsu,Low,3.4.7,Mobile,iOS,13.0,True,False
ERR-00329,2024-12-08 11:24:21,CUST-0118,SMB,Francja,Logowanie,Błąd autoryzacji,Medium,3.5.0,Desktop,macOS,78.0,True,False
ERR-00330,2024-01-15 09:31:54,CUST-0045,Mid-market,Polska,Integracje,Nieprawidłowe dane,Medium,3.0.7,Desktop,Windows,23.0,True,False
ERR-00331,2024-06-15 10:11:31,CUST-0077,Mid-market,Polska,Integracje,Timeout,High,3.0.5,Desktop,macOS,107.0,True,False
ERR-00332,2024-04-18 16:22:51,CUST-0121,SMB,Polska,Integracje,Błąd autoryzacji,Medium,3.8.2,Mobile,iOS,20.0,True,False
ERR-00333,2024-05-12 00:21:17,CUST-0019,Enterprise,Francja,Logowanie,Błąd API,Low,3.6.0,Tablet,iOS,11.0,True,False
ERR-00334,2024-11-01 06:44:56,CUST-0227,Startup,Francja,Logowanie,Błąd bazy danych,High,3.5.6,Desktop,Windows,208.0,True,False
ERR-00335,2024-05-21 02:35:00,CUST-0249,Startup,Polska,Eksport danych,Timeout,Critical,3.3.6,Desktop,macOS,286.0,True,False
ERR-00336,2024-09-21 02:12:05,CUST-0122,SMB,Niemcy,Integracje,Błąd autoryzacji,Critical,3.8.3,Desktop,Windows,1009.0,True,False
ERR-00337,2024-05-03 17:46:26,CUST-0008,Enterprise,Niemcy,Użytkownicy,Błąd API,Medium,3.2.5,Desktop,Linux,72.0,True,False
ERR-00338,2024-09-07 15:35:48,CUST-0119,SMB,Niemcy,Eksport danych,Błąd interfejsu,Medium,3.2.8,Desktop,Windows,,False,False
ERR-00339,2024-05-03 12:44:30,CUST-0029,Enterprise,Polska,Raporty,Timeout,Critical,3.4.9,Mobile,Android,98.0,True,False
ERR-00340,2024-11-26 05:45:31,CUST-0005,Enterprise,Niemcy,Integracje,Timeout,Low,3.4.0,Desktop,macOS,6.0,True,False
ERR-00341,2024-08-17 12:50:01,CUST-0022,Enterprise,Hiszpania,Eksport danych,Błąd API,High,3.3.7,Tablet,iOS,135.0,True,False
ERR-00342,2024-02-17 12:18:14,CUST-0064,Mid-market,Polska,Raporty,Błąd autoryzacji,Critical,3.7.6,Desktop,Windows,537.0,True,True
ERR-00343,2024-07-26 08:44:15,CUST-0179,Startup,Polska,Integracje,Nieprawidłowe dane,Low,3.7.7,Mobile,Android,71.0,True,False
ERR-00344,2024-06-05 11:42:37,CUST-0133,SMB,Niemcy,Logowanie,Nieprawidłowe dane,Low,3.8.7,Desktop,Windows,14.0,True,False
ERR-00345,2024-07-07 11:30:35,CUST-0119,SMB,Wielka Brytania,Raporty,Błąd API,Critical,3.4.7,Desktop,Linux,1572.0,True,False
ERR-00346,2024-09-28 14:22:27,CUST-0048,Mid-market,Francja,Integracje,Timeout,High,3.1.0,Desktop,macOS,,False,False
ERR-00347,2024-10-08 14:21:22,CUST-0002,Enterprise,Francja,Płatności,Nieprawidłowe dane,Low,3.4.0,Desktop,macOS,9.0,True,False
ERR-00348,2024-12-25 02:29:17,CUST-0018,Enterprise,Niemcy,Płatności,Błąd API,Low,3.9.8,Desktop,Windows,24.0,True,False
ERR-00349,2024-06-05 11:16:14,CUST-0226,Startup,Niemcy,Płatności,Nieprawidłowe dane,Medium,3.6.9,Mobile,Android,188.0,True,False
ERR-00350,2024-03-02 14:46:12,CUST-0029,Enterprise,Polska,Płatności,Błąd bazy danych,Critical,3.8.2,Tablet,iOS,77.0,True,True
ERR-00351,2024-06-10 12:07:47,CUST-0245,Startup,Francja,Płatności,Nieprawidłowe dane,High,3.0.1,Desktop,macOS,381.0,True,False
ERR-00352,2024-10-01 17:48:44,CUST-0042,Mid-market,Wielka Brytania,Raporty,Błąd API,Critical,3.5.7,Desktop,Windows,143.0,True,True
ERR-00353,2024-04-04 14:12:13,CUST-0071,Mid-market,Francja,Użytkownicy,Błąd API,Low,3.0.5,Desktop,macOS,98.0,True,False
ERR-00354,2024-09-04 08:17:46,CUST-0135,SMB,Wielka Brytania,Raporty,Błąd interfejsu,Medium,3.6.5,Desktop,Windows,40.0,True,False
ERR-00355,2024-10-28 03:48:33,CUST-0066,Mid-market,Francja,Logowanie,Błąd API,Medium,3.9.4,Desktop,Windows,163.0,True,False
ERR-00356,2024-11-01 14:18:06,CUST-0214,Startup,Polska,Logowanie,Błąd bazy danych,High,3.9.7,Mobile,Android,59.0,True,False
ERR-00357,2024-04-09 01:18:14,CUST-0157,Startup,Wielka Brytania,Integracje,Timeout,Medium,3.6.1,Tablet,Android,108.0,True,False
